AutID,Author
Aut1,"Anderson, Herbert"
Aut2,"Anderson, Victor"
Aut3,"Andrews, Dale P."
Aut4,"Armour, Ellen T."
Aut5,"Attridge, Harold W."
Aut6,"Barnes, Sandra L."
Aut7,"Best, Candace"
Aut8,"Bevans, Stephen B."
Aut9,"Braxton, Brad Ronnell"
Aut10,"Buckley, James J."
Aut11,"Burton, E. Thomoseo"
Aut12,"Bynum, Mia Smith"
Aut13,"Byrd, James P."
Aut14,"Cahalan, Kathleen A."
Aut15,"Cumming, Joseph"
Aut16,"DeHart, Paul J"
Aut17,"Dorsey, Joseph C."
Aut18,"Eppehimer, Trevor"
Aut19,"Floyd-Thomas, Stacey M"
Aut20,"Frank, Thomas Edward"
Aut21,"Geller, Jay"
Aut22,"Greider, Kathleen J."
Aut23,"Hamman, Jaco J."
Aut24,"Hess, Carol Lakey"
Aut25,"Jensen, Robin M."
Aut26,"Jensen, Tim"
Aut27,"Knight, Douglas A."
Aut28,"Krahn, Anne Marie"
Aut29,"LeVine, Mark"
Aut30,"Lim, Paul C. H."
Aut31,"McClure, John S"
Aut32,"McClure, John S."
Aut33,"Meeks, M Douglas"
Aut34,"Michelson, David A."
Aut35,"Miller-McLemore, Bonnie J."
Aut36,"Miller-McLemore, Mark"
Aut37,"Morrill, Bruce T."
Aut38,"Nwosu, Oluchi C."
Aut39,"Rogers-Vaughn, Bruce"
Aut40,"Segovia, Fernando F."
Aut41,"Smith, Ted A."
Aut42,"Snarr, C Melissa"
Aut43,"Stringer, Ebonie Cunningham"
Aut44,"Tornquist, Paul"
Aut45,"Townes, Emilie M."
Aut46,"Turpin, Katherine"
Aut47,"Volf, Miroslav"
Aut48,"Webster, Jane S."
Aut49,"Witvliet, John D."
