ArtID,TpcID
QPSU7X6K,Tpc2
AF2IQBZI,Tpc8
4QHEUD3F,Tpc13
MIVGZNPD,Tpc12
5QX72EUI,Tpc7
M5DAIX66,Tpc27
WM6EAGTJ,Tpc37
HEHREDTU,Tpc57
9TJRKBP3,Tpc3
DFVI4VRE,Tpc20
DEZTGVWE,Tpc23
RA7E7IEW,Tpc15
FPEMH4WZ,Tpc15
S5386EHW,Tpc35
STKZ9PR5,Tpc36
UVZ2G8BR,Tpc6
7NIN2ZJR,Tpc22
JXH24K83,Tpc28
83EGGPUZ,Tpc29
VPFR7P5H,Tpc15
VKKXWB2W,Tpc43
K6MTIUT4,Tpc74
3SC3KRI8,Tpc91
HFZ4U584,Tpc5
SXWCCP35,Tpc7
GNNSXSM2,Tpc10
G47MHPCA,Tpc21
BZTK5NF4,Tpc3
TG6I9JKN,Tpc3
2QUC36D3,Tpc4
ZWCTW2DK,Tpc29
V3FD9C6N,Tpc45
GQFX454U,Tpc7
KHH4KSFE,Tpc7
EGJWSHJQ,Tpc9
NW84NRHJ,Tpc11
6QMG5C2F,Tpc6
3TRF5PHJ,Tpc12
ZDXPKKB4,Tpc19
QH7A387M,Tpc20
7UUX3TU6,Tpc3
I6KFKVZJ,Tpc24
IS9PH3IH,Tpc28
N7VRTK35,Tpc15
QUXSWEHT,Tpc15
J73Q2JNP,Tpc32
2K3MD49Z,Tpc68
26HI6F5X,Tpc3
E356BQUC,Tpc28
I2KZWCE7,Tpc15
8XCEQ7CE,Tpc43
656GRD42,Tpc34
86AUXWSC,Tpc58
2KE6MTA2,Tpc4
X4IWKIQ5,Tpc18
FAGVRXD3,Tpc19
WV9EX8W8,Tpc21
INM44PCR,Tpc7
URCK287K,Tpc3
SZQPMEQ9,Tpc20
I9HQK33H,Tpc12
3BT28NEW,Tpc23
ZZAICG72,Tpc23
JNG9S3DR,Tpc28
HWPI3CNT,Tpc30
ZP7H37GX,Tpc38
897CCZ29,Tpc61
Q42VZWHK,Tpc34
PEDJ7JRM,Tpc30
29QZS6C5,Tpc12
FBHW3D68,Tpc6
NWIX65H7,Tpc25
XSXWCW7Q,Tpc23
EMN35GIC,Tpc23
UHDAQ4TM,Tpc43
CEVZDCVS,Tpc62
VAR9CIEZ,Tpc7
QKIUBM6R,Tpc7
82UN7UMN,Tpc3
C6FS7DRA,Tpc14
PU5Z6PEX,Tpc20
WD7KG637,Tpc21
G2C2JFA8,Tpc7
QVXDVSRM,Tpc4
PD5TDTI4,Tpc4
RAXERTP5,Tpc4
6NV9663K,Tpc3
DTGSZDT5,Tpc15
UKE7BI6A,Tpc12
JP898IVV,Tpc84
BEC4DUUK,Tpc11
6DNWMME7,Tpc119
VQQ58JI4,Tpc123
